date,time,c,f
12/04/2019,12:38:32,23.937,75.087
12/04/2019,12:43:32,23.937,75.087
12/04/2019,12:48:32,24.0,75.2
12/04/2019,12:53:32,24.125,75.425
12/04/2019,12:58:32,24.25,75.65
12/04/2019,13:03:32,24.312,75.762
12/04/2019,13:08:32,24.25,75.65
12/04/2019,13:13:32,24.125,75.425
12/04/2019,13:18:32,24.125,75.425
12/04/2019,13:23:31,24.125,75.425
12/04/2019,13:28:31,24.25,75.65
12/04/2019,13:33:31,24.25,75.65
12/04/2019,13:38:31,24.312,75.762
12/04/2019,13:43:31,24.187,75.537
12/04/2019,13:48:31,24.312,75.762
12/04/2019,13:53:31,24.312,75.762
12/04/2019,13:58:31,24.187,75.537
12/04/2019,14:03:31,24.312,75.762
12/04/2019,14:08:31,24.25,75.65
12/04/2019,14:13:31,24.375,75.875
12/04/2019,14:18:31,24.187,75.537
12/04/2019,14:23:31,24.25,75.65
12/04/2019,14:28:31,24.312,75.762
12/04/2019,14:33:31,24.25,75.65
12/04/2019,14:38:31,24.187,75.537
12/04/2019,14:43:31,24.25,75.65
12/04/2019,14:48:31,24.25,75.65
12/04/2019,14:53:31,24.437,75.987
12/04/2019,14:58:31,24.375,75.875
12/04/2019,15:03:31,24.125,75.425
12/04/2019,15:08:31,24.312,75.762
12/04/2019,15:13:31,24.5,76.1
12/04/2019,15:18:31,24.312,75.762
12/04/2019,15:23:31,24.375,75.875
12/04/2019,15:28:31,24.312,75.762
12/04/2019,15:33:31,24.25,75.65
12/04/2019,15:38:31,24.187,75.537
12/04/2019,15:43:31,24.25,75.65
12/04/2019,15:48:31,24.375,75.875
12/04/2019,15:53:31,24.437,75.987
12/04/2019,15:58:31,24.625,76.325
12/04/2019,16:03:31,24.562,76.212
12/04/2019,16:08:31,24.562,76.212
12/04/2019,16:13:31,24.687,76.437
12/04/2019,16:18:31,24.562,76.212
12/04/2019,16:23:31,24.75,76.55
12/04/2019,16:28:31,24.625,76.325
12/04/2019,16:33:31,24.687,76.437
12/04/2019,16:38:31,24.75,76.55
